exercise_id,type,difficulty,base_time_seconds
1,multiple_choice,4,14.0
2,multiple_choice,5,15.5
3,audio,1,17.2
4,audio,5,26.0
5,writing,4,32.0
6,audio,2,19.4
7,multiple_choice,4,14.0
8,translation,5,22.0
9,translation,5,22.0
10,writing,1,23.0
11,multiple_choice,1,9.5
12,writing,2,26.0
13,multiple_choice,2,11.0
14,translation,4,20.0
15,multiple_choice,4,14.0
16,translation,1,14.0
17,translation,1,14.0
18,multiple_choice,3,12.5
19,audio,4,23.8
20,audio,4,23.8
21,writing,2,26.0
22,writing,1,23.0
23,multiple_choice,5,15.5
24,writing,4,32.0
25,multiple_choice,5,15.5
26,audio,5,26.0
27,writing,2,26.0
28,writing,5,35.0
29,multiple_choice,4,14.0
30,multiple_choice,4,14.0
31,audio,3,21.6
32,audio,4,23.8
33,audio,3,21.6
34,multiple_choice,4,14.0
35,translation,4,20.0
36,multiple_choice,1,9.5
37,translation,4,20.0
38,audio,3,21.6
39,audio,1,17.2
40,multiple_choice,5,15.5
41,writing,4,32.0
42,translation,5,22.0
43,translation,3,18.0
44,audio,3,21.6
45,writing,4,32.0
46,writing,4,32.0
47,translation,3,18.0
48,translation,3,18.0
49,writing,2,26.0
50,writing,3,29.0
51,multiple_choice,5,15.5
52,multiple_choice,2,11.0
53,multiple_choice,5,15.5
54,translation,2,16.0
55,multiple_choice,2,11.0
56,multiple_choice,3,12.5
57,translation,4,20.0
58,translation,2,16.0
59,multiple_choice,1,9.5
60,translation,2,16.0
61,multiple_choice,3,12.5
62,translation,1,14.0
63,multiple_choice,3,12.5
64,translation,3,18.0
65,translation,2,16.0
66,audio,3,21.6
67,translation,4,20.0
68,audio,3,21.6
69,multiple_choice,1,9.5
70,multiple_choice,1,9.5
71,audio,5,26.0
72,multiple_choice,5,15.5
73,multiple_choice,5,15.5
74,translation,4,20.0
75,audio,5,26.0
76,translation,4,20.0
77,audio,2,19.4
78,multiple_choice,1,9.5
79,writing,5,35.0
80,writing,4,32.0
81,writing,3,29.0
82,writing,4,32.0
83,translation,4,20.0
84,multiple_choice,3,12.5
85,translation,4,20.0
86,translation,4,20.0
87,multiple_choice,1,9.5
88,multiple_choice,2,11.0
89,audio,3,21.6
90,translation,3,18.0
91,translation,3,18.0
92,audio,3,21.6
93,multiple_choice,4,14.0
94,translation,3,18.0
95,translation,4,20.0
96,audio,3,21.6
97,translation,4,20.0
98,multiple_choice,3,12.5
99,audio,1,17.2
100,audio,2,19.4
101,audio,1,17.2
102,translation,3,18.0
103,translation,3,18.0
104,audio,4,23.8
105,writing,4,32.0
106,translation,4,20.0
107,translation,4,20.0
108,translation,3,18.0
109,multiple_choice,2,11.0
110,multiple_choice,3,12.5
111,audio,3,21.6
112,multiple_choice,5,15.5
113,multiple_choice,2,11.0
114,multiple_choice,2,11.0
115,multiple_choice,1,9.5
116,multiple_choice,4,14.0
117,multiple_choice,4,14.0
118,audio,3,21.6
119,audio,1,17.2
120,multiple_choice,1,9.5
