user_id,engagement_segment,region,device_type,recency_days,frequency_sessions,educational_value_xp
1,casual,semiurbano,desktop,10,12,416.0
2,regular,rural,mobile,0,9,3513.0
3,casual,urbano,mobile,6,6,583.0
4,casual,rural,mobile,11,5,481.0
5,casual,rural,mobile,23,3,405.0
6,regular,rural,mobile,1,8,1323.0
7,dedicado,urbano,mobile,2,18,2515.0
8,casual,semiurbano,desktop,0,6,671.0
9,regular,urbano,tablet,0,14,1448.0
10,casual,semiurbano,desktop,11,6,568.0
11,dedicado,urbano,mobile,0,21,3023.0
12,dedicado,semiurbano,desktop,0,16,3092.0
13,regular,urbano,mobile,0,9,2648.0
14,regular,urbano,mobile,1,9,1516.0
15,regular,urbano,mobile,1,8,1047.0
16,regular,urbano,mobile,0,16,1639.0
17,casual,urbano,desktop,5,4,427.0
18,casual,semiurbano,mobile,0,8,2542.0
19,casual,semiurbano,mobile,4,13,1054.0
20,casual,semiurbano,mobile,2,3,1788.0
21,regular,rural,tablet,0,8,1464.0
22,casual,urbano,mobile,8,7,593.0
23,regular,semiurbano,desktop,14,6,1751.0
24,casual,urbano,desktop,0,8,2085.0
25,casual,semiurbano,mobile,2,4,567.0
26,casual,urbano,desktop,5,8,526.0
27,casual,urbano,mobile,2,6,552.0
28,regular,semiurbano,desktop,1,13,1426.0
29,casual,semiurbano,mobile,3,9,674.0
30,casual,urbano,mobile,6,8,568.0
31,casual,semiurbano,mobile,0,8,394.0
32,dedicado,urbano,mobile,0,14,3185.0
33,regular,semiurbano,tablet,1,12,1322.0
34,regular,semiurbano,mobile,2,10,1272.0
35,casual,urbano,mobile,2,9,595.0
36,dedicado,urbano,mobile,0,16,2857.0
37,regular,urbano,mobile,2,20,1714.0
38,casual,semiurbano,mobile,7,6,688.0
39,dedicado,urbano,mobile,0,15,3328.0
40,casual,semiurbano,tablet,4,8,723.0
41,regular,semiurbano,desktop,1,8,1185.0
42,casual,urbano,mobile,4,6,742.0
43,casual,urbano,mobile,8,5,751.0
44,regular,urbano,mobile,0,9,1230.0
45,casual,urbano,desktop,6,8,615.0
46,casual,urbano,mobile,6,5,478.0
47,regular,semiurbano,desktop,0,10,1050.0
48,casual,urbano,tablet,4,7,613.0
49,regular,rural,desktop,5,14,2701.0
50,regular,semiurbano,mobile,0,14,1431.0
51,regular,urbano,mobile,1,11,1474.0
52,casual,semiurbano,mobile,1,5,647.0
53,casual,semiurbano,mobile,4,8,553.0
54,casual,urbano,mobile,5,18,1538.0
55,casual,urbano,mobile,1,6,382.0
56,regular,urbano,mobile,10,10,968.0
57,regular,semiurbano,mobile,0,11,1136.0
58,casual,urbano,tablet,0,7,582.0
59,casual,urbano,mobile,1,8,462.0
60,regular,rural,tablet,4,12,1367.0
