user_id,signup_date,region,device_type,engagement_segment,base_connectivity_score
1,2026-03-17,semiurbano,desktop,casual,0.582
2,2026-03-01,rural,mobile,regular,0.765
3,2026-04-09,urbano,mobile,casual,0.835
4,2026-04-19,rural,mobile,casual,0.485
5,2026-03-13,rural,mobile,casual,0.324
6,2026-01-05,rural,mobile,regular,0.509
7,2026-01-10,urbano,mobile,dedicado,0.834
8,2026-01-07,semiurbano,desktop,casual,0.691
9,2026-01-04,urbano,tablet,regular,0.872
10,2026-04-13,semiurbano,desktop,casual,0.857
11,2026-01-18,urbano,mobile,dedicado,0.754
12,2026-02-04,semiurbano,desktop,dedicado,0.798
13,2026-01-07,urbano,mobile,regular,0.865
14,2026-04-10,urbano,mobile,regular,0.92
15,2026-01-13,urbano,mobile,regular,0.894
16,2026-01-27,urbano,mobile,regular,0.805
17,2026-04-07,urbano,desktop,casual,0.934
18,2026-04-22,semiurbano,mobile,casual,0.66
19,2026-03-15,semiurbano,mobile,casual,0.701
20,2026-02-02,semiurbano,mobile,casual,0.673
21,2026-01-19,rural,tablet,regular,0.443
22,2026-01-07,urbano,mobile,casual,0.88
23,2026-02-18,semiurbano,desktop,regular,0.803
24,2026-02-06,urbano,desktop,casual,0.898
25,2026-02-08,semiurbano,mobile,casual,0.781
26,2026-03-18,urbano,desktop,casual,0.948
27,2026-02-03,urbano,mobile,casual,0.834
28,2026-04-05,semiurbano,desktop,regular,0.918
29,2026-01-22,semiurbano,mobile,casual,0.76
30,2026-01-25,urbano,mobile,casual,0.971
31,2026-02-18,semiurbano,mobile,casual,0.763
32,2026-02-22,urbano,mobile,dedicado,0.842
33,2026-03-26,semiurbano,tablet,regular,0.638
34,2026-04-02,semiurbano,mobile,regular,0.704
35,2026-01-14,urbano,mobile,casual,0.793
36,2026-01-13,urbano,mobile,dedicado,0.889
37,2026-01-07,urbano,mobile,regular,0.919
38,2026-01-13,semiurbano,mobile,casual,0.813
39,2026-01-09,urbano,mobile,dedicado,0.897
40,2026-02-13,semiurbano,tablet,casual,0.789
41,2026-01-13,semiurbano,desktop,regular,0.585
42,2026-03-16,urbano,mobile,casual,0.816
43,2026-01-11,urbano,mobile,casual,0.847
44,2026-01-18,urbano,mobile,regular,0.98
45,2026-03-13,urbano,desktop,casual,0.893
46,2026-04-24,urbano,mobile,casual,1.0
47,2026-02-10,semiurbano,desktop,regular,0.713
48,2026-03-23,urbano,tablet,casual,0.961
49,2026-03-18,rural,desktop,regular,0.332
50,2026-02-20,semiurbano,mobile,regular,0.755
51,2026-01-02,urbano,mobile,regular,0.946
52,2026-02-16,semiurbano,mobile,casual,0.76
53,2026-02-26,semiurbano,mobile,casual,0.677
54,2026-04-19,urbano,mobile,casual,0.907
55,2026-01-16,urbano,mobile,casual,0.95
56,2026-03-29,urbano,mobile,regular,0.967
57,2026-03-06,semiurbano,mobile,regular,0.921
58,2026-01-02,urbano,tablet,casual,0.875
59,2026-04-29,urbano,mobile,casual,0.871
60,2026-04-02,rural,tablet,regular,0.554
61,2026-03-28,semiurbano,mobile,regular,0.833
62,2026-03-25,urbano,mobile,casual,0.882
63,2026-03-07,semiurbano,mobile,casual,0.671
64,2026-04-01,semiurbano,desktop,casual,0.654
65,2026-01-02,semiurbano,tablet,dedicado,0.821
66,2026-02-07,urbano,mobile,dedicado,0.962
67,2026-04-13,rural,desktop,casual,0.571
68,2026-04-05,semiurbano,mobile,casual,0.533
69,2026-02-05,urbano,mobile,regular,0.819
70,2026-04-07,urbano,mobile,casual,0.998
71,2026-02-15,urbano,mobile,regular,0.885
72,2026-03-25,urbano,mobile,casual,0.772
73,2026-02-14,urbano,mobile,regular,0.889
74,2026-01-10,urbano,mobile,dedicado,0.903
75,2026-02-21,rural,mobile,dedicado,0.574
76,2026-03-23,semiurbano,mobile,regular,0.668
77,2026-02-18,urbano,mobile,casual,0.727
78,2026-01-23,urbano,tablet,dedicado,0.999
79,2026-02-04,rural,mobile,casual,0.558
80,2026-01-21,urbano,mobile,casual,0.88
81,2026-02-22,urbano,mobile,casual,0.947
82,2026-01-24,urbano,desktop,regular,0.881
83,2026-01-09,urbano,mobile,casual,0.792
84,2026-04-12,urbano,mobile,casual,0.745
85,2026-02-14,semiurbano,desktop,casual,0.774
86,2026-01-13,semiurbano,mobile,regular,0.574
87,2026-03-05,urbano,desktop,casual,0.85
88,2026-02-22,semiurbano,tablet,regular,0.655
89,2026-03-08,urbano,mobile,regular,0.903
90,2026-01-20,semiurbano,mobile,dedicado,0.702
91,2026-02-21,rural,mobile,dedicado,0.517
92,2026-01-28,semiurbano,mobile,casual,0.652
93,2026-02-12,semiurbano,desktop,dedicado,0.666
94,2026-02-22,urbano,tablet,regular,0.842
95,2026-04-09,urbano,mobile,regular,0.934
96,2026-04-01,rural,desktop,regular,0.678
97,2026-03-20,urbano,mobile,regular,0.856
98,2026-01-11,urbano,desktop,dedicado,0.841
99,2026-02-10,semiurbano,mobile,casual,0.669
100,2026-01-27,urbano,mobile,regular,0.963
101,2026-03-19,urbano,tablet,regular,0.848
102,2026-04-20,urbano,mobile,casual,0.83
103,2026-02-22,urbano,desktop,regular,0.817
104,2026-01-03,rural,mobile,casual,0.456
105,2026-03-18,urbano,desktop,regular,0.909
106,2026-02-07,semiurbano,mobile,casual,0.916
107,2026-02-22,semiurbano,mobile,regular,0.805
108,2026-02-12,urbano,mobile,dedicado,0.925
109,2026-03-07,rural,desktop,regular,0.593
110,2026-04-08,semiurbano,mobile,casual,0.837
111,2026-03-15,semiurbano,mobile,regular,0.642
112,2026-03-26,semiurbano,desktop,casual,0.615
113,2026-01-14,semiurbano,desktop,regular,0.802
114,2026-04-16,urbano,mobile,casual,0.937
115,2026-04-18,rural,mobile,casual,0.428
