challenge_id,user_id,difficulty,num_exercises,connectivity_quality,device_type,prior_success_rate_30d,hearts_start,hearts_end,completed_with_lives
4859,211,1,8,0.464,mobile,0.435,5,3,True
641,44,1,11,1.0,mobile,0.679,5,4,True
1211,704,1,9,0.933,desktop,0.503,5,4,True
1847,641,3,9,0.826,mobile,0.523,5,4,True
3437,667,5,7,0.622,mobile,0.358,5,1,True
4002,258,2,7,1.0,desktop,0.77,5,4,True
14689,780,4,15,0.843,mobile,0.692,5,0,False
4860,220,5,11,0.818,mobile,0.445,5,2,True
7910,788,1,11,0.878,mobile,0.833,5,5,True
12688,588,4,5,0.384,mobile,0.772,5,3,True
5682,584,4,8,0.693,mobile,0.623,5,4,True
3059,333,5,5,0.838,desktop,0.572,5,2,True
12124,635,4,9,0.964,tablet,0.816,5,4,True
15022,733,5,6,0.607,desktop,0.637,5,4,True
1177,785,5,15,0.914,mobile,0.334,5,0,False
4761,377,3,14,0.797,mobile,0.825,5,4,True
14457,543,1,15,1.0,mobile,0.437,5,2,True
1498,110,5,10,0.905,mobile,0.689,5,3,True
6899,195,1,7,0.928,mobile,0.658,5,5,True
16744,216,2,5,0.871,mobile,0.639,5,4,True
