attempt_id,user_id,exercise_id,timestamp,attempt_number,difficulty,connectivity_quality,device_type,hearts_before,is_correct,time_spent_seconds,hour_of_day,day_of_week,time_spent_outlier_flag,log1p_time_spent_seconds
8244,653,43,2026-01-09 11:10:06,2,3,0.63,mobile,5,True,20.6,11,4,False,3.0726933146901194
55270,201,30,2026-02-14 11:22:23,1,4,0.974,mobile,2,True,13.9,11,5,False,2.7013612129514133
7275,376,81,2026-02-05 18:36:33,1,3,0.79,tablet,1,True,51.2,18,3,False,3.955082494888593
28531,307,8,2026-04-13 23:10:22,2,5,0.658,mobile,5,True,59.9,23,0,False,4.109233174715851
26648,7,100,2026-01-07 16:00:46,2,2,0.733,mobile,4,True,31.6,16,2,False,3.484312288372662
25550,795,63,2026-04-21 02:48:28,2,3,1.0,mobile,2,True,21.5,2,1,False,3.1135153092103742
33848,545,117,2026-01-16 09:22:57,1,4,0.694,desktop,5,False,15.7,9,4,False,2.8154087194227095
15942,149,70,2026-03-06 15:18:12,1,1,0.357,desktop,1,True,21.0,15,4,False,3.091042453358316
36649,429,14,2026-02-10 06:11:12,1,4,0.756,mobile,3,True,43.6,6,1,False,3.7977338590260183
42763,750,64,2026-02-22 23:18:25,2,3,0.958,mobile,4,True,13.6,23,6,False,2.681021528714291
33360,788,68,2026-03-06 06:54:50,1,3,0.7,mobile,5,True,43.8,6,4,False,3.8022081394209395
39328,701,70,2026-02-28 09:24:57,2,1,0.684,mobile,1,True,12.6,9,5,False,2.6100697927420065
38813,167,69,2026-01-19 21:45:39,1,1,0.999,desktop,2,True,5.6,21,0,False,1.8870696490323797
35069,75,102,2026-04-27 23:18:04,1,3,0.569,mobile,1,True,25.1,23,0,False,3.261935314328648
15985,12,62,2026-03-03 18:22:52,1,1,0.719,desktop,1,True,30.5,18,1,False,3.449987545831587
48796,95,36,2026-01-23 18:09:21,2,1,0.951,mobile,3,True,16.5,18,4,False,2.8622008809294686
16783,363,102,2026-03-05 21:51:29,1,3,0.704,mobile,2,True,52.0,21,3,False,3.970291913552122
33217,269,83,2026-01-11 07:07:09,2,4,0.782,tablet,4,True,552.1894247775681,7,6,True,6.315700483153738
35753,65,92,2026-02-06 12:13:46,1,3,0.675,tablet,2,True,36.3,12,4,False,3.6189933266497696
31868,702,83,2026-04-25 11:50:56,1,4,0.894,tablet,2,True,30.7,11,5,False,3.456316680883235
