attempt_id,user_id,exercise_id,timestamp,attempt_number,difficulty,connectivity_quality,device_type,hearts_before,is_correct,time_spent_seconds,hour_of_day,day_of_week,time_spent_outlier_flag,log1p_time_spent_seconds
17913,47,1,2026-04-28 14:13:38,1,4,0.8,desktop,5,True,25.7,14,1,False,3.2846635654062037
40522,75,117,2026-01-21 00:03:48,1,4,0.515,mobile,3,True,24.9,0,2,False,3.254242968705492
57845,700,46,2026-02-04 09:15:41,1,4,0.847,mobile,4,True,46.1,9,2,False,3.8522730010223722
6992,201,36,2026-01-23 12:40:26,2,1,0.975,mobile,3,True,11.9,12,4,False,2.5572273113676265
31331,692,1,2026-01-05 03:54:13,1,4,0.889,tablet,2,True,19.1,3,0,False,3.0007198150650303
17926,167,114,2026-03-14 08:47:53,2,2,0.856,desktop,3,True,11.0,8,5,False,2.4849066497880004
32903,717,77,2026-01-04 06:36:33,1,2,0.253,desktop,1,True,36.8,6,6,False,3.632309102625542
44378,781,57,2026-04-23 20:55:26,1,4,0.374,tablet,5,True,65.8,20,3,False,4.2017030805426
19087,365,54,2026-03-25 08:40:07,1,2,0.807,mobile,1,True,21.0,8,2,False,3.091042453358316
15638,101,6,2026-02-08 21:11:34,2,2,0.713,tablet,4,True,37.5,21,6,False,3.6506582412937387
22234,329,82,2026-03-15 05:49:51,1,4,1.0,desktop,1,True,48.5,5,6,False,3.901972669574645
9262,265,28,2026-02-21 08:32:48,1,5,1.0,mobile,1,True,36.6,8,5,False,3.6270040503958487
33659,344,63,2026-03-31 09:58:30,2,3,0.686,mobile,5,True,13.4,9,1,False,2.667228206581955
3506,270,6,2026-02-18 03:27:52,2,2,0.734,mobile,3,True,21.7,3,2,False,3.122364924487357
45839,345,1,2026-01-14 02:32:49,1,4,0.718,desktop,4,True,30.9,2,2,False,3.462606009790799
50331,653,115,2026-03-23 06:14:17,1,1,0.716,mobile,3,True,21.8,6,0,False,3.126760535960395
19498,201,62,2026-03-29 17:49:56,5,1,0.841,mobile,1,True,15.2,17,6,False,2.785011242238338
9365,385,108,2026-01-13 22:22:41,1,3,1.0,tablet,3,True,19.6,22,1,False,3.0252910757955354
5431,344,101,2026-03-14 15:25:33,2,1,0.645,mobile,3,True,28.1,15,5,False,3.370738174177447
51642,717,82,2026-03-31 15:20:15,1,4,0.276,desktop,3,True,94.0,15,1,False,4.553876891600541
19509,193,65,2026-01-19 20:01:43,2,2,0.31,mobile,5,True,29.3,20,0,False,3.4111477125153233
39089,100,69,2026-03-14 09:16:10,2,1,1.0,mobile,3,True,11.7,9,5,False,2.5416019934645457
41860,535,33,2026-02-07 04:40:52,1,3,0.849,mobile,2,True,22.5,4,5,False,3.1570004211501135
27293,660,35,2026-03-22 22:07:22,1,4,0.72,mobile,4,False,45.5,22,6,False,3.8394523125933104
27243,130,30,2026-01-18 07:36:35,3,4,0.919,mobile,2,True,24.8,7,6,False,3.250374491927572
6680,477,89,2026-01-26 02:00:30,3,3,0.837,mobile,5,True,25.0,2,0,False,3.258096538021482
32821,455,41,2026-02-20 03:40:39,2,4,0.939,mobile,3,False,35.3,3,4,False,3.591817741270805
58703,139,18,2026-01-20 02:36:40,1,3,0.895,mobile,4,True,29.9,2,1,False,3.4307561839036995
543,272,27,2026-03-12 14:18:25,1,2,0.528,mobile,1,True,73.6,14,3,False,4.312140507209715
38424,367,63,2026-02-18 15:06:31,2,3,0.925,mobile,4,True,9.7,15,2,False,2.3702437414678603
40911,698,70,2026-01-09 01:52:54,2,1,0.494,mobile,4,True,20.7,1,4,False,3.077312260546414
51589,332,118,2026-04-24 16:03:31,1,3,0.744,mobile,5,True,24.2,16,4,False,3.2268439945173775
18797,276,78,2026-02-15 05:10:13,3,1,0.756,mobile,4,True,12.4,5,6,False,2.5952547069568657
15369,373,96,2026-04-13 07:52:59,1,3,0.643,mobile,2,True,58.3,7,0,False,4.08260930600368
32132,760,87,2026-03-26 16:34:13,1,1,0.997,desktop,3,False,10.4,16,3,False,2.4336133554004498
12881,360,16,2026-01-10 07:34:37,1,1,0.473,tablet,5,True,35.4,7,5,False,3.594568774642695
22207,104,17,2026-04-11 15:43:19,1,1,0.505,mobile,1,True,33.1,15,5,False,3.529297384289471
44078,521,71,2026-03-25 03:20:05,1,5,0.925,desktop,2,True,31.7,3,2,False,3.487375077903208
33419,555,74,2026-02-09 09:13:51,1,4,0.888,desktop,3,False,24.2,9,0,False,3.2268439945173775
11159,399,88,2026-04-19 22:01:10,1,2,0.477,mobile,1,False,41.3,22,6,False,3.744787086052232
33438,559,32,2026-03-25 23:53:53,1,4,0.589,mobile,4,False,67.7,23,2,False,4.229749199228304
49962,58,41,2026-04-22 07:50:26,2,4,0.877,tablet,1,True,41.5,7,2,False,3.7495040759303713
58937,32,38,2026-04-15 06:16:47,1,3,0.873,mobile,4,True,51.8,6,2,False,3.966511190712216
45406,623,37,2026-03-06 21:05:46,1,4,0.98,mobile,1,True,32.8,21,4,False,3.520460802488973
6778,377,86,2026-01-21 05:07:23,1,4,0.96,mobile,5,False,34.0,5,2,False,3.5553480614894135
16114,101,82,2026-03-07 02:37:33,1,4,0.761,tablet,2,True,84.9,2,5,False,4.45318382899021
17708,714,87,2026-02-17 16:22:10,1,1,0.806,mobile,5,False,15.4,16,1,False,2.797281334830153
29883,728,68,2026-02-25 22:58:01,1,3,0.877,mobile,1,True,35.8,22,2,False,3.6054978451748854
49912,473,84,2026-04-25 19:57:47,4,3,0.837,mobile,3,True,15.7,19,5,False,2.8154087194227095
50948,671,2,2026-01-24 09:29:23,1,5,1.0,desktop,4,False,15.4,9,5,False,2.797281334830153
29713,474,67,2026-03-19 06:08:18,2,4,0.615,mobile,3,False,28.9,6,3,False,3.3978584803966405
36222,607,26,2026-01-04 00:19:52,4,5,0.811,mobile,2,True,26.2,0,6,False,3.3032169733019514
21463,203,47,2026-01-01 10:25:45,1,3,0.926,mobile,5,True,20.8,10,3,False,3.0819099697950434
499,351,48,2026-03-13 17:43:02,1,3,0.709,tablet,2,False,20.8,17,4,False,3.0819099697950434
311,556,68,2026-01-16 08:01:36,2,3,0.811,mobile,1,True,18.5,8,4,False,2.970414465569701
41549,306,110,2026-03-18 08:08:53,1,3,1.0,mobile,1,True,17.7,8,2,False,2.928523523860541
4550,21,15,2026-04-27 17:50:15,2,4,0.472,tablet,3,False,17.3,17,0,False,2.9069010598473755
21485,472,87,2026-03-13 06:58:05,1,1,0.616,desktop,1,True,11.6,6,4,False,2.533696813957432
16989,98,30,2026-01-14 19:17:56,1,4,0.932,desktop,1,False,16.5,19,2,False,2.8622008809294686
36909,367,96,2026-03-24 12:55:38,3,3,0.715,mobile,1,True,44.1,12,1,False,3.8088822465086327
19402,207,49,2026-01-15 12:09:04,1,2,0.885,tablet,3,False,34.2,12,3,False,3.5610460826040513
25393,413,48,2026-01-14 17:37:35,1,3,0.962,mobile,2,True,34.9,17,2,False,3.580737295494233
56329,519,84,2026-02-28 20:56:45,2,3,0.905,tablet,1,True,22.1,20,5,False,3.139832617527748
17552,98,72,2026-04-17 01:32:06,1,5,0.766,desktop,4,False,23.1,1,4,False,3.1822118404966093
55612,557,75,2026-01-12 08:46:54,2,5,0.902,tablet,3,True,45.8,8,0,False,3.845883202923601
26196,162,88,2026-03-10 00:37:10,2,2,0.805,mobile,1,True,8.3,0,1,False,2.2300144001592104
34228,736,112,2026-03-04 17:03:30,1,5,0.978,mobile,3,False,22.3,17,2,False,3.1484533605716547
33035,169,101,2026-04-04 17:15:09,5,1,0.943,desktop,4,True,9.8,17,5,False,2.379546134130174
7965,10,118,2026-01-15 06:36:15,1,3,0.733,desktop,5,False,30.8,6,3,False,3.459466289786131
56225,431,60,2026-03-14 02:23:15,2,2,0.792,mobile,3,False,33.5,2,5,False,3.5409593240373143
9381,217,102,2026-02-26 14:12:36,2,3,0.77,mobile,4,True,21.8,14,3,False,3.126760535960395
11738,724,102,2026-04-02 15:01:30,2,3,0.753,mobile,1,True,23.8,15,3,False,3.2108436531709366
33004,429,38,2026-04-18 03:55:26,1,3,0.823,mobile,2,True,34.5,3,5,False,3.56953269648137
9920,192,85,2026-01-07 01:28:12,1,4,0.398,mobile,4,False,124.4,1,2,False,4.83150862819882
56992,519,39,2026-02-17 09:43:02,1,1,0.826,tablet,4,True,28.2,9,1,False,3.374168709274236
19097,476,69,2026-02-07 21:22:42,2,1,0.665,mobile,3,False,20.2,21,5,False,3.054001181677967
4710,382,93,2026-03-17 17:35:26,1,4,0.837,mobile,4,True,15.2,17,1,False,2.785011242238338
35538,445,81,2026-04-08 04:17:31,4,3,0.724,mobile,2,True,18.5,4,2,False,2.970414465569701
1123,76,47,2026-01-11 18:02:57,1,3,0.605,mobile,5,True,47.2,18,6,False,3.8753590210565547
41706,230,61,2026-01-08 07:44:07,2,3,1.0,mobile,5,False,18.8,7,3,False,2.9856819377004897
48849,723,112,2026-02-02 19:11:21,1,5,0.95,desktop,4,False,16.3,19,0,False,2.8507065015037334
47228,474,88,2026-02-12 02:26:59,3,2,0.767,mobile,2,False,8.6,2,3,False,2.2617630984737906
5854,682,36,2026-04-19 14:46:23,1,1,0.888,mobile,1,True,13.6,14,6,False,2.681021528714291
46505,601,93,2026-04-25 04:46:37,4,4,0.777,mobile,2,True,19.1,4,5,False,3.0007198150650303
39951,541,62,2026-01-29 17:59:11,1,1,0.675,mobile,1,True,16.0,17,3,False,2.833213344056216
29860,88,102,2026-03-09 20:41:58,1,3,0.901,tablet,5,True,16.1,20,0,False,2.8390784635086144
3191,314,114,2026-04-01 21:27:57,1,2,0.881,desktop,5,False,10.8,21,2,False,2.468099531471619
21397,765,4,2026-02-02 05:07:55,1,5,0.977,mobile,2,True,19.8,5,0,False,3.0349529867072724
52983,91,20,2026-02-02 17:32:09,3,4,0.443,mobile,5,True,44.9,17,0,False,3.8264651170664994
14399,766,81,2026-03-03 00:20:19,2,3,0.529,mobile,1,True,586.1296543486737,0,1,True,6.375245671671367
36514,700,83,2026-04-07 10:07:10,4,4,0.864,mobile,4,True,21.7,10,1,False,3.122364924487357
26303,269,106,2026-02-19 14:36:19,1,4,0.851,tablet,3,False,24.2,14,3,False,3.2268439945173775
58228,281,21,2026-04-08 10:49:42,1,2,0.886,mobile,3,True,31.4,10,2,False,3.4781584227982836
30975,528,18,2026-04-12 00:27:55,1,3,0.852,mobile,3,True,15.9,0,6,False,2.8273136219290276
13053,541,22,2026-03-25 02:44:57,1,1,0.569,mobile,1,True,35.0,2,2,False,3.58351893845611
33653,704,91,2026-02-19 11:28:30,2,3,1.0,desktop,4,True,24.0,11,3,False,3.2188758248682006
1394,605,44,2026-04-14 18:50:23,1,3,0.68,mobile,2,True,34.0,18,1,False,3.5553480614894135
25838,131,24,2026-03-15 11:22:20,1,4,0.364,desktop,3,True,54.2,11,6,False,4.01096295328305
43318,486,21,2026-01-23 12:07:35,3,2,1.0,mobile,4,True,24.7,12,4,False,3.246490991901174
46810,148,111,2026-04-17 06:42:11,1,3,0.369,mobile,1,False,77.4,6,4,False,4.361823927356363
45947,45,119,2026-02-02 04:12:25,3,1,0.92,desktop,5,True,15.6,4,0,False,2.8094026953624978
57395,2,17,2026-02-23 18:15:44,3,1,0.778,mobile,4,True,16.2,18,0,False,2.8449093838194073
17711,765,10,2026-01-23 00:48:16,1,1,0.906,mobile,1,True,47.3,0,4,False,3.877431560658527
1777,798,38,2026-03-06 07:20:26,1,3,0.66,tablet,2,True,25.8,7,4,False,3.288401887516811
16,155,95,2026-02-22 03:00:04,1,4,0.811,desktop,4,True,51.9,3,6,False,3.9684033388642534
27154,615,22,2026-04-01 05:35:35,4,1,0.85,tablet,2,False,35.2,5,2,False,3.5890591188317256
47676,633,94,2026-04-11 01:50:26,1,3,1.0,mobile,4,True,29.5,1,5,False,3.417726683613366
